256.0,256.0,0,0,-1
10,5,17,24,0
11,17,52,24,0
55,20,56,21,0
1025.0,409.0,0,3,0,1
1026.0,409.0,0,3,0,1
1027.0,409.0,0,3,0,1
1028.0,409.0,0,3,0,1
1029.0,409.0,0,3,0,1
1049.0,409.0,0,3,0,1
1069.0,409.0,0,3,0,1
1089.0,409.0,0,3,0,1
1109.0,409.0,0,3,0,1
1109.0,429.0,0,3,0,1
1109.0,449.0,0,3,0,1
1129.0,449.0,0,3,0,1
1129.0,469.0,0,3,0,1
1149.0,469.0,0,3,0,1
1149.0,489.0,0,3,0,1
1169.0,489.0,0,3,0,1
1169.0,509.0,0,3,0,1
1189.0,509.0,0,3,0,1
1189.0,529.0,0,3,0,1
1209.0,529.0,0,3,0,1
1209.0,549.0,0,3,0,1
1229.0,549.0,0,3,0,1
1229.0,569.0,0,3,0,1
1249.0,569.0,0,3,0,1
1249.0,589.0,0,3,0,1
1269.0,589.0,0,3,0,1
1269.0,609.0,0,3,0,1
1289.0,609.0,0,3,0,1
1289.0,629.0,0,3,0,1
1309.0,629.0,0,3,0,1
1309.0,649.0,0,3,0,1
1329.0,649.0,0,3,0,1
1329.0,669.0,0,3,0,1
1349.0,669.0,0,3,0,1
1349.0,689.0,0,3,0,1
1369.0,689.0,0,3,0,1
1369.0,709.0,0,3,0,1
1389.0,709.0,0,3,0,1
1389.0,729.0,0,3,0,1
1409.0,729.0,0,3,0,1
1409.0,749.0,0,3,0,1
1429.0,749.0,0,3,0,1
1429.0,769.0,0,3,0,1
1449.0,769.0,0,3,0,1
1449.0,789.0,0,3,0,1
1469.0,789.0,0,3,0,1
1469.0,809.0,0,3,0,1
1489.0,809.0,0,3,0,1
1489.0,829.0,0,3,0,1
1509.0,829.0,0,3,0,1
1509.0,849.0,0,3,0,1
1529.0,849.0,0,3,0,1
1529.0,869.0,0,3,0,1
1549.0,869.0,0,3,0,1
1549.0,889.0,0,3,0,1
1569.0,889.0,0,3,0,1
1569.0,909.0,0,3,0,1
1589.0,909.0,0,3,0,1
1589.0,929.0,0,3,0,1
1609.0,929.0,0,3,0,1
1609.0,949.0,0,3,0,1
1629.0,949.0,0,3,0,1
1629.0,969.0,0,3,0,1
1649.0,969.0,0,3,0,1
1649.0,989.0,0,3,0,1
1669.0,989.0,0,3,0,1
1669.0,1009.0,0,3,0,1
1689.0,1009.0,0,3,0,1
1689.0,1029.0,0,3,0,1
1709.0,1029.0,0,3,0,1
1709.0,1049.0,0,3,0,1
1729.0,1049.0,0,3,0,1
1729.0,1069.0,0,3,0,1
1749.0,1069.0,0,3,0,1
1749.0,1089.0,0,3,0,1
1769.0,1089.0,0,3,0,1
1769.0,1109.0,0,3,0,1
1789.0,1109.0,0,3,0,1
1789.0,1129.0,0,3,0,1
1809.0,1129.0,0,3,0,1
1809.0,1149.0,0,3,0,1
1829.0,1149.0,0,3,0,1
1829.0,1169.0,0,3,0,1
1849.0,1169.0,0,3,0,1
1849.0,1189.0,0,3,0,1
1869.0,1189.0,0,3,0,1
1869.0,1209.0,0,3,0,1
1889.0,1209.0,0,3,0,1
1889.0,1229.0,0,3,0,1
1909.0,1229.0,0,3,0,1
1909.0,1249.0,0,3,0,1
1929.0,1249.0,0,3,0,1
1929.0,1269.0,0,3,0,1
1949.0,1269.0,0,3,0,1
1949.0,1289.0,0,3,0,1
1969.0,1289.0,0,3,0,1
1969.0,1309.0,0,3,0,1
1969.0,1329.0,0,3,0,1
1387.0,717.0,0,3,0,1
1389.0,717.0,0,3,0,1
1391.0,717.0,0,3,0,1
1391.0,718.0,0,3,0,1
1391.0,719.0,0,3,0,1
1391.0,720.0,0,3,0,1
1391.0,722.0,0,3,0,1
1391.0,721.0,0,3,0,1
1391.0,720.0,0,3,0,1
1391.0,719.0,0,3,0,1
1391.0,718.0,0,3,0,1
1391.0,717.0,0,3,0,1
1391.0,716.0,0,3,0,1
1391.0,715.0,0,3,0,1
1390.0,715.0,0,3,0,1
1686.0,1009.0,0,3,0,1
1685.0,1010.0,0,3,0,1
1684.0,1011.0,0,3,0,1
1684.0,1012.0,0,3,0,1
1684.0,1013.0,0,3,0,1
1684.0,993.0,0,3,0,1
1704.0,993.0,0,3,0,1
1704.0,973.0,0,3,0,1
1724.0,973.0,0,3,0,1
1724.0,953.0,0,3,0,1
1744.0,953.0,0,3,0,1
1744.0,933.0,0,3,0,1
1764.0,933.0,0,3,0,1
1764.0,913.0,0,3,0,1
1784.0,913.0,0,3,0,1
1784.0,893.0,0,3,0,1
1804.0,893.0,0,3,0,1
1804.0,873.0,0,3,0,1
1824.0,873.0,0,3,0,1
1824.0,853.0,0,3,0,1
1844.0,853.0,0,3,0,1
1844.0,833.0,0,3,0,1
1864.0,833.0,0,3,0,1
1864.0,813.0,0,3,0,1
1884.0,813.0,0,3,0,1
1884.0,793.0,0,3,0,1
1904.0,793.0,0,3,0,1
1904.0,773.0,0,3,0,1
1924.0,773.0,0,3,0,1
1924.0,753.0,0,3,0,1
1944.0,753.0,0,3,0,1
1944.0,733.0,0,3,0,1
1964.0,733.0,0,3,0,1
1964.0,713.0,0,3,0,1
1984.0,713.0,0,3,0,1
1984.0,693.0,0,3,0,1
2004.0,693.0,0,3,0,1
2004.0,673.0,0,3,0,1
2024.0,673.0,0,3,0,1
2024.0,653.0,0,3,0,1
2044.0,653.0,0,3,0,1
2044.0,633.0,0,3,0,1
2064.0,633.0,0,3,0,1
2064.0,613.0,0,3,0,1
2084.0,613.0,0,3,0,1
2084.0,593.0,0,3,0,1
2084.0,573.0,0,3,0,1
1835.0,1132.0,0,3,1,1
1835.0,1131.0,0,3,1,1
1834.0,1130.0,0,3,1,1
1832.0,1130.0,0,3,1,1
1829.0,1130.0,0,3,1,1
1825.0,1130.0,0,3,1,1
1819.0,1130.0,0,3,1,1
1813.0,1130.0,0,3,1,1
1809.0,1130.0,0,3,1,1
1801.0,1130.0,0,3,1,1
1794.0,1130.0,0,3,1,1
1785.0,1130.0,0,3,1,1
1776.0,1131.0,0,3,1,1
1767.0,1132.0,0,3,1,1
1758.0,1133.0,0,3,1,1
1747.0,1135.0,0,3,1,1
1740.0,1135.0,0,3,1,1
1733.0,1139.0,0,3,1,1
1726.0,1141.0,0,3,1,1
1719.0,1142.0,0,3,1,1
1715.0,1144.0,0,3,1,1
1712.0,1145.0,0,3,1,1
1711.0,1145.0,0,3,1,1
1710.0,1145.0,0,3,1,1
1711.0,1145.0,0,3,1,1
1711.0,1144.0,0,3,1,1
1713.0,1141.0,0,3,1,1
1716.0,1137.0,0,3,1,1
1723.0,1131.0,0,3,1,1
1729.0,1122.0,0,3,1,1
1736.0,1115.0,0,3,1,1
1741.0,1111.0,0,3,1,1
1748.0,1107.0,0,3,1,1
1757.0,1103.0,0,3,1,1
1764.0,1100.0,0,3,1,1
1771.0,1098.0,0,3,1,1
1779.0,1094.0,0,3,1,1
1786.0,1091.0,0,3,1,1
1797.0,1087.0,0,3,1,1
1806.0,1085.0,0,3,1,1
1813.0,1084.0,0,3,1,1
1820.0,1082.0,0,3,1,1
1828.0,1080.0,0,3,1,1
1833.0,1078.0,0,3,1,1
1837.0,1078.0,0,3,1,1
1842.0,1075.0,0,3,1,1
1845.0,1074.0,0,3,1,1
1847.0,1073.0,0,3,1,1
1850.0,1071.0,0,3,1,1
1852.0,1070.0,0,3,1,1
1853.0,1070.0,0,3,1,1
1854.0,1070.0,0,3,1,1
1855.0,1068.0,0,3,1,1
1856.0,1068.0,0,3,1,1
1857.0,1068.0,0,3,1,1
1857.0,1067.0,0,3,1,1
1856.0,1068.0,0,3,1,1
1854.0,1069.0,0,3,1,1
1850.0,1071.0,0,3,1,1
1847.0,1072.0,0,3,1,1
1845.0,1073.0,0,3,1,1
1842.0,1074.0,0,3,1,1
1838.0,1077.0,0,3,1,1
1834.0,1078.0,0,3,1,1
1829.0,1080.0,0,3,1,1
1822.0,1083.0,0,3,1,1
1818.0,1085.0,0,3,1,1
1811.0,1090.0,0,3,1,1
1808.0,1091.0,0,3,1,1
1803.0,1094.0,0,3,1,1
1799.0,1096.0,0,3,1,1
1793.0,1099.0,0,3,1,1
1788.0,1103.0,0,3,1,1
1782.0,1106.0,0,3,1,1
1780.0,1107.0,0,3,1,1
1777.0,1110.0,0,3,1,1
1775.0,1110.0,0,3,1,1
1772.0,1112.0,0,3,1,1
1770.0,1114.0,0,3,1,1
1768.0,1115.0,0,3,1,1
1763.0,1118.0,0,3,1,1
1761.0,1118.0,0,3,1,1
1758.0,1120.0,0,3,1,1
1754.0,1121.0,0,3,1,1
1752.0,1122.0,0,3,1,1
1750.0,1123.0,0,3,1,1
1748.0,1124.0,0,3,1,1
1746.0,1124.0,0,3,1,1
1744.0,1124.0,0,3,1,1
1743.0,1125.0,0,3,1,1
1742.0,1125.0,0,3,1,1
1741.0,1126.0,0,3,1,1
1738.0,1126.0,0,3,1,1
1736.0,1127.0,0,3,1,1
1734.0,1127.0,0,3,1,1
1733.0,1128.0,0,3,1,1
1732.0,1128.0,0,3,1,1
1731.0,1128.0,0,3,1,1
1730.0,1128.0,0,3,1,1
1730.0,1127.0,0,3,1,1
1730.0,1126.0,0,3,1,1
1730.0,1123.0,0,3,1,1
1732.0,1120.0,0,3,1,1
1735.0,1115.0,0,3,1,1
1737.0,1114.0,0,3,1,1
1739.0,1111.0,0,3,1,1
1742.0,1109.0,0,3,1,1
1745.0,1106.0,0,3,1,1
1750.0,1102.0,0,3,1,1
1756.0,1098.0,0,3,1,1
1758.0,1096.0,0,3,1,1
1761.0,1094.0,0,3,1,1
1765.0,1091.0,0,3,1,1
1767.0,1089.0,0,3,1,1
1770.0,1087.0,0,3,1,1
1772.0,1086.0,0,3,1,1
1775.0,1084.0,0,3,1,1
1776.0,1083.0,0,3,1,1
1777.0,1082.0,0,3,1,1
1778.0,1082.0,0,3,1,1
1779.0,1082.0,0,3,1,1
1780.0,1082.0,0,3,1,1
1781.0,1081.0,0,3,1,1
1782.0,1080.0,0,3,1,1
1784.0,1079.0,0,3,1,1
1786.0,1078.0,0,3,1,1
1788.0,1077.0,0,3,1,1
1790.0,1074.0,0,3,1,1
1792.0,1072.0,0,3,1,1
1795.0,1071.0,0,3,1,1
1796.0,1071.0,0,3,1,1
1797.0,1070.0,0,3,1,1
1798.0,1070.0,0,3,1,1
1799.0,1069.0,0,3,1,1
1800.0,1068.0,0,3,1,1
1801.0,1068.0,0,3,1,1
1802.0,1067.0,0,3,1,1
1804.0,1065.0,0,3,1,1
1804.0,1064.0,0,3,1,1
1805.0,1063.0,0,3,1,1
1806.0,1062.0,0,3,1,1
1806.0,1063.0,0,3,1,1
1804.0,1065.0,0,3,1,1
1803.0,1065.0,0,3,1,1
1802.0,1066.0,0,3,1,1
1801.0,1067.0,0,3,1,1
1797.0,1070.0,0,3,1,1
1795.0,1070.0,0,3,1,1
1794.0,1072.0,0,3,1,1
1790.0,1074.0,0,3,1,1
1787.0,1078.0,0,3,1,1
1784.0,1079.0,0,3,1,1
1782.0,1081.0,0,3,1,1
1782.0,1082.0,0,3,1,1
1779.0,1082.0,0,3,1,1
1777.0,1084.0,0,3,1,1
1776.0,1085.0,0,3,1,1
1775.0,1085.0,0,3,1,1
1773.0,1086.0,0,3,1,1
1773.0,1087.0,0,3,1,1
1771.0,1087.0,0,3,1,1
1769.0,1089.0,0,3,1,1
1768.0,1090.0,0,3,1,1
1765.0,1090.0,0,3,1,1
1764.0,1091.0,0,3,1,1
1763.0,1092.0,0,3,1,1
1761.0,1092.0,0,3,1,1
1760.0,1093.0,0,3,1,1
1758.0,1094.0,0,3,1,1
1756.0,1094.0,0,3,1,1
1755.0,1095.0,0,3,1,1
1754.0,1095.0,0,3,1,1
1753.0,1096.0,0,3,1,1
1752.0,1096.0,0,3,1,1
1752.0,1097.0,0,3,1,1
1750.0,1097.0,0,3,1,1
1749.0,1097.0,0,3,1,1
1748.0,1098.0,0,3,1,1
1747.0,1098.0,0,3,1,1
1745.0,1098.0,0,3,1,1
1745.0,1100.0,0,3,1,1
1742.0,1101.0,0,3,1,1
1742.0,1102.0,0,3,1,1
1741.0,1102.0,0,3,1,1
1740.0,1103.0,0,3,1,1
1739.0,1103.0,0,3,1,1
1739.0,1102.0,0,3,1,1
1741.0,1100.0,0,3,1,1
1743.0,1098.0,0,3,1,1
1746.0,1097.0,0,3,1,1
1748.0,1097.0,0,3,1,1
1750.0,1095.0,0,3,1,1
1753.0,1093.0,0,3,1,1
1756.0,1092.0,0,3,1,1
1757.0,1091.0,0,3,1,1
1760.0,1088.0,0,3,1,1
1763.0,1087.0,0,3,1,1
1765.0,1085.0,0,3,1,1
1767.0,1084.0,0,3,1,1
1773.0,1080.0,0,3,1,1
1778.0,1075.0,0,3,1,1
1781.0,1072.0,0,3,1,1
1783.0,1069.0,0,3,1,1
1784.0,1068.0,0,3,1,1
1786.0,1066.0,0,3,1,1
1787.0,1065.0,0,3,1,1
1789.0,1063.0,0,3,1,1
1790.0,1063.0,0,3,1,1
1791.0,1063.0,0,3,1,1
1792.0,1062.0,0,3,1,1
1793.0,1062.0,0,3,1,1
1793.0,1060.0,0,3,1,1
1793.0,1061.0,0,3,1,1
1792.0,1063.0,0,3,1,1
1791.0,1065.0,0,3,1,1
1790.0,1066.0,0,3,1,1
1789.0,1068.0,0,3,1,1
1788.0,1072.0,0,3,1,1
1785.0,1074.0,0,3,1,1
1784.0,1076.0,0,3,1,1
1781.0,1079.0,0,3,1,1
1780.0,1081.0,0,3,1,1
1777.0,1086.0,0,3,1,1
1776.0,1087.0,0,3,1,1
1775.0,1089.0,0,3,1,1
1771.0,1091.0,0,3,1,1
1770.0,1092.0,0,3,1,1
1768.0,1094.0,0,3,1,1
1767.0,1096.0,0,3,1,1
1766.0,1096.0,0,3,1,1
1763.0,1097.0,0,3,1,1
1762.0,1099.0,0,3,1,1
1760.0,1100.0,0,3,1,1
1757.0,1101.0,0,3,1,1
1756.0,1101.0,0,3,1,1
1754.0,1103.0,0,3,1,1
1753.0,1103.0,0,3,1,1
1752.0,1103.0,0,3,1,1
1751.0,1103.0,0,3,1,1
1749.0,1104.0,0,3,1,1
1748.0,1104.0,0,3,1,1
1747.0,1105.0,0,3,1,1
1746.0,1105.0,0,3,1,1
1745.0,1105.0,0,3,1,1
1743.0,1106.0,0,3,1,1
1741.0,1107.0,0,3,1,1
1740.0,1107.0,0,3,1,1
1739.0,1107.0,0,3,1,1
1739.0,1108.0,0,3,1,1
1738.0,1109.0,0,3,1,1
1737.0,1110.0,0,3,1,1
1737.0,1111.0,0,3,1,1
1737.0,1112.0,0,3,1,1
1737.0,1113.0,0,3,1,1
1737.0,1114.0,0,3,1,1
1737.0,1115.0,0,3,1,1
1737.0,1117.0,0,3,1,1
1738.0,1119.0,0,3,1,1
1740.0,1121.0,0,3,1,1
1742.0,1122.0,0,3,1,1
1744.0,1124.0,0,3,1,1
1748.0,1126.0,0,3,1,1
1750.0,1127.0,0,3,1,1
1755.0,1129.0,0,3,1,1
1759.0,1131.0,0,3,1,1
1763.0,1133.0,0,3,1,1
1766.0,1135.0,0,3,1,1
1775.0,1137.0,0,3,1,1
1781.0,1140.0,0,3,1,1
1789.0,1142.0,0,3,1,1
1798.0,1145.0,0,3,1,1
1806.0,1148.0,0,3,1,1
1814.0,1150.0,0,3,1,1
1825.0,1153.0,0,3,1,1
1833.0,1155.0,0,3,1,1
1842.0,1157.0,0,3,1,1
1852.0,1160.0,0,3,1,1
1864.0,1162.0,0,3,1,1
1874.0,1164.0,0,3,1,1
1882.0,1165.0,0,3,1,1
1893.0,1166.0,0,3,1,1
1902.0,1168.0,0,3,1,1
1910.0,1169.0,0,3,1,1
1917.0,1173.0,0,3,1,1
1926.0,1174.0,0,3,1,1
1930.0,1175.0,0,3,1,1
1935.0,1175.0,0,3,1,1
1938.0,1177.0,0,3,1,1
1940.0,1178.0,0,3,1,1
1941.0,1178.0,0,3,1,1
1943.0,1179.0,0,3,1,1
1943.0,1180.0,0,3,1,1
1943.0,1182.0,0,3,1,1
1942.0,1186.0,0,3,1,1
1938.0,1191.0,0,3,1,1
1933.0,1197.0,0,3,1,1
1927.0,1205.0,0,3,1,1
1920.0,1211.0,0,3,1,1
1909.0,1223.0,0,3,1,1
1899.0,1231.0,0,3,1,1
1879.0,1247.0,0,3,1,1
1863.0,1257.0,0,3,1,1
1845.0,1271.0,0,3,1,1
1828.0,1283.0,0,3,1,1
1814.0,1291.0,0,3,1,1
1804.0,1296.0,0,3,1,1
1791.0,1302.0,0,3,1,1
1783.0,1304.0,0,3,1,1
1781.0,1304.0,0,3,1,1
1780.0,1304.0,0,3,1,1
1782.0,1297.0,0,3,1,1
1788.0,1286.0,0,3,1,1
1800.0,1268.0,0,3,1,1
1812.0,1253.0,0,3,1,1
1826.0,1234.0,0,3,1,1
1834.0,1222.0,0,3,1,1
1844.0,1212.0,0,3,1,1
1851.0,1202.0,0,3,1,1
1857.0,1197.0,0,3,1,1
1865.0,1192.0,0,3,1,1
1873.0,1187.0,0,3,1,1
1883.0,1182.0,0,3,1,1
1892.0,1179.0,0,3,1,1
1899.0,1176.0,0,3,1,1
1905.0,1175.0,0,3,1,1
1915.0,1173.0,0,3,1,1
1919.0,1173.0,0,3,1,1
1923.0,1173.0,0,3,1,1
1926.0,1173.0,0,3,1,1
1930.0,1173.0,0,3,1,1
1933.0,1173.0,0,3,1,1
1935.0,1173.0,0,3,1,1
1937.0,1173.0,0,3,1,1
1937.0,1174.0,0,3,1,1
