256.0,256.0,0,0,-1
380.0,614.0,0,9,0,1
381.0,614.0,0,9,0,1
382.0,614.0,0,9,0,1
383.0,614.0,0,9,0,1
384.0,614.0,0,9,0,1
385.0,614.0,0,9,0,1
386.0,613.0,0,9,0,1
387.0,613.0,0,9,0,1
388.0,612.0,0,9,0,1
389.0,612.0,0,9,0,1
390.0,612.0,0,9,0,1
391.0,611.0,0,9,0,1
394.0,611.0,0,9,0,1
395.0,611.0,0,9,0,1
396.0,611.0,0,9,0,1
398.0,611.0,0,9,0,1
401.0,611.0,0,9,0,1
403.0,611.0,0,9,0,1
405.0,611.0,0,9,0,1
406.0,611.0,0,9,0,1
407.0,610.0,0,9,0,1
409.0,610.0,0,9,0,1
410.0,610.0,0,9,0,1
411.0,610.0,0,9,0,1
412.0,610.0,0,9,0,1
413.0,610.0,0,9,0,1
414.0,610.0,0,9,0,1
415.0,610.0,0,9,0,1
416.0,610.0,0,9,0,1
417.0,610.0,0,9,0,1
419.0,610.0,0,9,0,1
422.0,610.0,0,9,0,1
431.0,610.0,0,9,0,1
435.0,610.0,0,9,0,1
438.0,610.0,0,9,0,1
442.0,610.0,0,9,0,1
444.0,610.0,0,9,0,1
445.0,610.0,0,9,0,1
446.0,610.0,0,9,0,1
447.0,610.0,0,9,0,1
448.0,610.0,0,9,0,1
449.0,610.0,0,9,0,1
451.0,610.0,0,9,0,1
453.0,610.0,0,9,0,1
455.0,610.0,0,9,0,1
456.0,610.0,0,9,0,1
457.0,610.0,0,9,0,1
458.0,610.0,0,9,0,1
459.0,610.0,0,9,0,1
460.0,610.0,0,9,0,1
465.0,610.0,0,9,0,1
467.0,610.0,0,9,0,1
469.0,610.0,0,9,0,1
471.0,610.0,0,9,0,1
472.0,610.0,0,9,0,1
475.0,610.0,0,9,0,1
477.0,610.0,0,9,0,1
480.0,610.0,0,9,0,1
483.0,610.0,0,9,0,1
486.0,610.0,0,9,0,1
487.0,610.0,0,9,0,1
488.0,610.0,0,9,0,1
490.0,610.0,0,9,0,1
491.0,610.0,0,9,0,1
492.0,610.0,0,9,0,1
493.0,610.0,0,9,0,1
495.0,610.0,0,9,0,1
496.0,610.0,0,9,0,1
497.0,610.0,0,9,0,1
498.0,610.0,0,9,0,1
499.0,610.0,0,9,0,1
501.0,610.0,0,9,0,1
502.0,610.0,0,9,0,1
504.0,610.0,0,9,0,1
505.0,610.0,0,9,0,1
506.0,610.0,0,9,0,1
508.0,610.0,0,9,0,1
509.0,610.0,0,9,0,1
511.0,610.0,0,9,0,1
512.0,610.0,0,9,0,1
514.0,610.0,0,9,0,1
517.0,610.0,0,9,0,1
519.0,610.0,0,9,0,1
522.0,610.0,0,9,0,1
526.0,610.0,0,9,0,1
527.0,610.0,0,9,0,1
530.0,610.0,0,9,0,1
533.0,610.0,0,9,0,1
534.0,610.0,0,9,0,1
