256.0,256.0,0,0,-1
31,5,57,33,0
31,33,57,58,0
31,58,57,87,0
31,87,56,119,0
56,87,57,119,0
31,55,36,85,1
56,55,62,55,1
51,55,57,83,1
51,83,57,85,1
31,85,41,116,1
31,116,41,120,1
43,85,57,105,1
43,105,58,122,1
43,85,47,112,0
43,112,47,119,0
46,85,47,115,1
46,114,47,123,1
29,5,30,8,0
29,5,30,10,0
18,5,31,9,0
29,9,31,14,1
27,1,30,3,1
43,119,44,125,0
41,119,45,148,0
41,119,42,142,1
41,142,42,151,1
42,148,45,173,0
45,170,70,173,0
932.0,3431.0,0,2,1,1
933.0,3431.0,0,2,1,1
934.0,3430.0,0,2,1,1
935.0,3430.0,0,2,1,1
937.0,3430.0,0,2,1,1
938.0,3430.0,0,2,1,1
939.0,3430.0,0,2,1,1
941.0,3430.0,0,2,1,1
942.0,3430.0,0,2,1,1
944.0,3430.0,0,2,1,1
945.0,3430.0,0,2,1,1
948.0,3430.0,0,2,1,1
951.0,3430.0,0,2,1,1
953.0,3430.0,0,2,1,1
955.0,3430.0,0,2,1,1
959.0,3430.0,0,2,1,1
962.0,3430.0,0,2,1,1
964.0,3431.0,0,2,1,1
967.0,3431.0,0,2,1,1
969.0,3432.0,0,2,1,1
970.0,3432.0,0,2,1,1
971.0,3432.0,0,2,1,1
972.0,3432.0,0,2,1,1
973.0,3432.0,0,2,1,1
974.0,3432.0,0,2,1,1
975.0,3432.0,0,2,1,1
977.0,3433.0,0,2,1,1
979.0,3433.0,0,2,1,1
980.0,3434.0,0,2,1,1
981.0,3434.0,0,2,1,1
932.0,3426.0,0,2,0,1
933.0,3426.0,0,2,0,1
934.0,3426.0,0,2,0,1
937.0,3426.0,0,2,0,1
938.0,3426.0,0,2,0,1
939.0,3426.0,0,2,0,1
940.0,3426.0,0,2,0,1
942.0,3426.0,0,2,0,1
943.0,3426.0,0,2,0,1
944.0,3426.0,0,2,0,1
945.0,3426.0,0,2,0,1
946.0,3426.0,0,2,0,1
947.0,3427.0,0,2,0,1
948.0,3427.0,0,2,0,1
949.0,3427.0,0,2,0,1
951.0,3427.0,0,2,0,1
952.0,3427.0,0,2,0,1
954.0,3427.0,0,2,0,1
956.0,3427.0,0,2,0,1
957.0,3427.0,0,2,0,1
958.0,3427.0,0,2,0,1
959.0,3428.0,0,2,0,1
960.0,3428.0,0,2,0,1
961.0,3428.0,0,2,0,1
962.0,3428.0,0,2,0,1
962.0,3429.0,0,2,0,1
963.0,3430.0,0,2,0,1
965.0,3430.0,0,2,0,1
966.0,3430.0,0,2,0,1
967.0,3430.0,0,2,0,1
969.0,3430.0,0,2,0,1
972.0,3430.0,0,2,0,1
973.0,3430.0,0,2,0,1
974.0,3430.0,0,2,0,1
977.0,3430.0,0,2,0,1
979.0,3430.0,0,2,0,1
981.0,3430.0,0,2,0,1
983.0,3432.0,0,2,0,1
985.0,3432.0,0,2,0,1
987.0,3433.0,0,2,0,1
988.0,3433.0,0,2,0,1
989.0,3433.0,0,2,0,1
991.0,3433.0,0,2,0,1
992.0,3433.0,0,2,0,1
994.0,3433.0,0,2,0,1
995.0,3433.0,0,2,0,1
997.0,3433.0,0,2,0,1
998.0,3433.0,0,2,0,1
1000.0,3433.0,0,2,0,1
1001.0,3433.0,0,2,0,1
1002.0,3433.0,0,2,0,1
1003.0,3433.0,0,2,0,1
1005.0,3433.0,0,2,0,1
1007.0,3433.0,0,2,0,1
1008.0,3433.0,0,2,0,1
1009.0,3433.0,0,2,0,1
1011.0,3433.0,0,2,0,1
1013.0,3433.0,0,2,0,1
1015.0,3433.0,0,2,0,1
1016.0,3433.0,0,2,0,1
1019.0,3433.0,0,2,0,1
1020.0,3433.0,0,2,0,1
1021.0,3433.0,0,2,0,1
1022.0,3433.0,0,2,0,1
29,11,30,12,2
29,11,30,12,2
29,4,30,5,2
29,4,30,5,1
592.0,209.0,0,2,2,1
592.0,210.0,0,2,2,1
592.0,211.0,0,2,2,1
592.0,212.0,0,2,2,1
592.0,214.0,0,2,2,1
592.0,215.0,0,2,2,1
592.0,216.0,0,2,2,1
592.0,217.0,0,2,2,1
592.0,218.0,0,2,2,1
592.0,219.0,0,2,2,1
592.0,220.0,0,2,2,1
