23,12,30,21,0
22,16,32,22,1
22,18,30,19,0
18,15,32,20,0
11,16,35,21,0
14,16,27,19,0
12,19,21,23,2
456.0,554.0,0,5,0,1
457.0,554.0,0,5,0,1
458.0,554.0,0,5,0,1
458.0,555.0,0,5,0,1
459.0,555.0,0,5,0,1
459.0,556.0,0,5,0,1
460.0,557.0,0,5,0,1
462.0,557.0,0,5,0,1
462.0,558.0,0,5,0,1
463.0,558.0,0,5,0,1
508.0,542.0,0,5,1,1
509.0,547.0,0,5,1,1
511.0,553.0,0,5,1,1
513.0,558.0,0,5,1,1
516.0,565.0,0,5,1,1
518.0,570.0,0,5,1,1
521.0,574.0,0,5,1,1
521.0,576.0,0,5,1,1
523.0,576.0,0,5,1,1
524.0,577.0,0,5,1,1
525.0,577.0,0,5,1,1
525.0,576.0,0,5,1,1
523.0,576.0,0,5,1,1
502.0,566.0,0,5,0,1
499.0,564.0,0,5,0,1
495.0,562.0,0,5,0,1
491.0,561.0,0,5,0,1
488.0,559.0,0,5,0,1
486.0,558.0,0,5,0,1
482.0,557.0,0,5,0,1
477.0,555.0,0,5,0,1
473.0,553.0,0,5,0,1
470.0,552.0,0,5,0,1
468.0,550.0,0,5,0,1
467.0,549.0,0,5,0,1
465.0,549.0,0,5,0,1
464.0,547.0,0,5,0,1
462.0,546.0,0,5,0,1
462.0,545.0,0,5,0,1
461.0,545.0,0,5,0,1
461.0,545.0,0,5,0,1
461.0,544.0,0,5,0,1
464.0,541.0,0,5,0,1
468.0,538.0,0,5,0,1
475.0,533.0,0,5,0,1
482.0,529.0,0,5,0,1
484.0,527.0,0,5,0,1
490.0,526.0,0,5,0,1
491.0,526.0,0,5,0,1
493.0,526.0,0,5,0,1
494.0,526.0,0,5,0,1
496.0,527.0,0,5,0,1
500.0,536.0,0,5,0,1
505.0,548.0,0,5,0,1
511.0,560.0,0,5,0,1
516.0,575.0,0,5,0,1
516.0,582.0,0,5,0,1
516.0,589.0,0,5,0,1
513.0,595.0,0,5,0,1
505.0,600.0,0,5,0,1
493.0,603.0,0,5,0,1
480.0,606.0,0,5,0,1
468.0,607.0,0,5,0,1
457.0,607.0,0,5,0,1
448.0,607.0,0,5,0,1
440.0,606.0,0,5,0,1
434.0,601.0,0,5,0,1
430.0,591.0,0,5,0,1
425.0,573.0,0,5,0,1
423.0,557.0,0,5,0,1
423.0,539.0,0,5,0,1
426.0,524.0,0,5,0,1
435.0,508.0,0,5,0,1
445.0,496.0,0,5,0,1
460.0,484.0,0,5,0,1
471.0,479.0,0,5,0,1
482.0,477.0,0,5,0,1
492.0,477.0,0,5,0,1
499.0,477.0,0,5,0,1
508.0,479.0,0,5,0,1
516.0,487.0,0,5,0,1
526.0,500.0,0,5,0,1
535.0,527.0,0,5,0,1
540.0,553.0,0,5,0,1
540.0,580.0,0,5,0,1
538.0,603.0,0,5,0,1
533.0,618.0,0,5,0,1
526.0,629.0,0,5,0,1
516.0,639.0,0,5,0,1
508.0,641.0,0,5,0,1
499.0,641.0,0,5,0,1
488.0,639.0,0,5,0,1
478.0,636.0,0,5,0,1
465.0,632.0,0,5,0,1
454.0,627.0,0,5,0,1
447.0,622.0,0,5,0,1
436.0,613.0,0,5,0,1
430.0,606.0,0,5,0,1
424.0,592.0,0,5,0,1
419.0,576.0,0,5,0,1
417.0,553.0,0,5,0,1
417.0,534.0,0,5,0,1
416.0,516.0,0,5,0,1
418.0,500.0,0,5,0,1
423.0,485.0,0,5,0,1
430.0,475.0,0,5,0,1
440.0,469.0,0,5,0,1
452.0,466.0,0,5,0,1
466.0,464.0,0,5,0,1
482.0,464.0,0,5,0,1
499.0,464.0,0,5,0,1
519.0,467.0,0,5,0,1
536.0,473.0,0,5,0,1
551.0,483.0,0,5,0,1
563.0,496.0,0,5,0,1
572.0,515.0,0,5,0,1
579.0,544.0,0,5,0,1
585.0,576.0,0,5,0,1
587.0,604.0,0,5,0,1
587.0,633.0,0,5,0,1
587.0,650.0,0,5,0,1
583.0,663.0,0,5,0,1
574.0,673.0,0,5,0,1
564.0,683.0,0,5,0,1
551.0,688.0,0,5,0,1
539.0,689.0,0,5,0,1
525.0,689.0,0,5,0,1
504.0,681.0,0,5,0,1
483.0,673.0,0,5,0,1
468.0,664.0,0,5,0,1
456.0,657.0,0,5,0,1
445.0,646.0,0,5,0,1
433.0,630.0,0,5,0,1
419.0,613.0,0,5,0,1
408.0,595.0,0,5,0,1
401.0,576.0,0,5,0,1
395.0,558.0,0,5,0,1
393.0,539.0,0,5,0,1
393.0,519.0,0,5,0,1
394.0,496.0,0,5,0,1
398.0,475.0,0,5,0,1
404.0,456.0,0,5,0,1
412.0,436.0,0,5,0,1
421.0,420.0,0,5,0,1
432.0,406.0,0,5,0,1
442.0,400.0,0,5,0,1
453.0,397.0,0,5,0,1
467.0,396.0,0,5,0,1
479.0,396.0,0,5,0,1
489.0,397.0,0,5,0,1
499.0,403.0,0,5,0,1
507.0,409.0,0,5,0,1
1039.0,363.0,0,5,0,1
1024.0,360.0,0,5,0,1
1006.0,359.0,0,5,0,1
987.0,359.0,0,5,0,1
973.0,365.0,0,5,0,1
959.0,380.0,0,5,0,1
944.0,401.0,0,5,0,1
929.0,424.0,0,5,0,1
915.0,460.0,0,5,0,1
907.0,496.0,0,5,0,1
899.0,536.0,0,5,0,1
893.0,585.0,0,5,0,1
891.0,619.0,0,5,0,1
893.0,645.0,0,5,0,1
904.0,667.0,0,5,0,1
917.0,684.0,0,5,0,1
937.0,698.0,0,5,0,1
960.0,704.0,0,5,0,1
990.0,707.0,0,5,0,1
1017.0,707.0,0,5,0,1
1044.0,704.0,0,5,0,1
1066.0,693.0,0,5,0,1
1085.0,679.0,0,5,0,1
1102.0,658.0,0,5,0,1
1116.0,631.0,0,5,0,1
1127.0,604.0,0,5,0,1
1130.0,581.0,0,5,0,1
1130.0,560.0,0,5,0,1
1129.0,536.0,0,5,0,1
1122.0,509.0,0,5,0,1
1111.0,484.0,0,5,0,1
1102.0,459.0,0,5,0,1
1098.0,440.0,0,5,0,1
1092.0,421.0,0,5,0,1
1087.0,404.0,0,5,0,1
1082.0,388.0,0,5,0,1
1079.0,372.0,0,5,0,1
1073.0,362.0,0,5,0,1
1070.0,356.0,0,5,0,1
1065.0,353.0,0,5,0,1
1059.0,351.0,0,5,0,1
1052.0,350.0,0,5,0,1
1045.0,350.0,0,5,0,1
1033.0,355.0,0,5,0,1
1019.0,369.0,0,5,0,1
1005.0,384.0,0,5,0,1
990.0,410.0,0,5,0,1
973.0,455.0,0,5,0,1
961.0,495.0,0,5,0,1
956.0,533.0,0,5,0,1
957.0,570.0,0,5,0,1
966.0,596.0,0,5,0,1
978.0,613.0,0,5,0,1
990.0,622.0,0,5,0,1
1001.0,625.0,0,5,0,1
1013.0,625.0,0,5,0,1
1022.0,625.0,0,5,0,1
1036.0,624.0,0,5,0,1
1047.0,619.0,0,5,0,1
1056.0,611.0,0,5,0,1
1063.0,599.0,0,5,0,1
1070.0,586.0,0,5,0,1
1078.0,570.0,0,5,0,1
1082.0,556.0,0,5,0,1
1082.0,542.0,0,5,0,1
1082.0,526.0,0,5,0,1
1077.0,510.0,0,5,0,1
1070.0,491.0,0,5,0,1
1061.0,475.0,0,5,0,1
1054.0,462.0,0,5,0,1
1048.0,453.0,0,5,0,1
1041.0,446.0,0,5,0,1
