256.0,256.0,0,0,-1
251.0,211.0,0,7,0,1
254.0,211.0,0,7,0,1
258.0,211.0,0,7,0,1
262.0,211.0,0,7,0,1
264.0,212.0,0,7,0,1
265.0,212.0,0,7,0,1
266.0,212.0,0,7,0,1
267.0,213.0,0,7,0,1
268.0,213.0,0,7,0,1
272.0,214.0,0,7,0,1
274.0,214.0,0,7,0,1
281.0,216.0,0,7,0,1
283.0,216.0,0,7,0,1
300.0,219.0,0,7,0,1
306.0,220.0,0,7,0,1
309.0,221.0,0,7,0,1
313.0,221.0,0,7,0,1
318.0,221.0,0,7,0,1
323.0,222.0,0,7,0,1
325.0,222.0,0,7,0,1
326.0,222.0,0,7,0,1
336.0,224.0,0,7,0,1
343.0,224.0,0,7,0,1
352.0,225.0,0,7,0,1
361.0,225.0,0,7,0,1
372.0,225.0,0,7,0,1
380.0,225.0,0,7,0,1
387.0,225.0,0,7,0,1
393.0,225.0,0,7,0,1
401.0,225.0,0,7,0,1
409.0,225.0,0,7,0,1
412.0,225.0,0,7,0,1
414.0,225.0,0,7,0,1
422.0,225.0,0,7,0,1
434.0,225.0,0,7,0,1
438.0,225.0,0,7,0,1
454.0,225.0,0,7,0,1
469.0,228.0,0,7,0,1
478.0,229.0,0,7,0,1
487.0,232.0,0,7,0,1
505.0,237.0,0,7,0,1
512.0,240.0,0,7,0,1
551.0,258.0,0,7,0,1
560.0,262.0,0,7,0,1
565.0,264.0,0,7,0,1
573.0,267.0,0,7,0,1
579.0,270.0,0,7,0,1
583.0,273.0,0,7,0,1
601.0,282.0,0,7,0,1
608.0,288.0,0,7,0,1
616.0,294.0,0,7,0,1
632.0,306.0,0,7,0,1
648.0,321.0,0,7,0,1
655.0,329.0,0,7,0,1
663.0,336.0,0,7,0,1
675.0,350.0,0,7,0,1
679.0,355.0,0,7,0,1
683.0,359.0,0,7,0,1
686.0,363.0,0,7,0,1
702.0,378.0,0,7,0,1
711.0,387.0,0,7,0,1
721.0,397.0,0,7,0,1
726.0,400.0,0,7,0,1
734.0,409.0,0,7,0,1
741.0,415.0,0,7,0,1
743.0,417.0,0,7,0,1
745.0,419.0,0,7,0,1
745.0,420.0,0,7,0,1
746.0,420.0,0,7,0,1
773.0,416.0,0,5,0,1
774.0,414.0,0,5,0,1
774.0,413.0,0,5,0,1
778.0,409.0,0,5,0,1
779.0,408.0,0,5,0,1
781.0,405.0,0,5,0,1
782.0,404.0,0,5,0,1
782.0,403.0,0,5,0,1
785.0,400.0,0,5,0,1
786.0,399.0,0,5,0,1
788.0,397.0,0,5,0,1
789.0,395.0,0,5,0,1
792.0,392.0,0,5,0,1
795.0,389.0,0,5,0,1
796.0,387.0,0,5,0,1
799.0,384.0,0,5,0,1
802.0,381.0,0,5,0,1
804.0,377.0,0,5,0,1
807.0,375.0,0,5,0,1
810.0,372.0,0,5,0,1
814.0,367.0,0,5,0,1
818.0,364.0,0,5,0,1
823.0,360.0,0,5,0,1
824.0,357.0,0,5,0,1
829.0,353.0,0,5,0,1
835.0,347.0,0,5,0,1
842.0,342.0,0,5,0,1
844.0,339.0,0,5,0,1
847.0,336.0,0,5,0,1
853.0,332.0,0,5,0,1
858.0,329.0,0,5,0,1
860.0,327.0,0,5,0,1
870.0,321.0,0,5,0,1
874.0,319.0,0,5,0,1
878.0,315.0,0,5,0,1
886.0,312.0,0,5,0,1
892.0,309.0,0,5,0,1
896.0,308.0,0,5,0,1
905.0,303.0,0,5,0,1
914.0,299.0,0,5,0,1
918.0,297.0,0,5,0,1
926.0,295.0,0,5,0,1
938.0,290.0,0,5,0,1
942.0,288.0,0,5,0,1
954.0,285.0,0,5,0,1
960.0,284.0,0,5,0,1
971.0,282.0,0,5,0,1
979.0,281.0,0,5,0,1
990.0,281.0,0,5,0,1
995.0,281.0,0,5,0,1
1007.0,281.0,0,5,0,1
1011.0,281.0,0,5,0,1
1023.0,281.0,0,5,0,1
1027.0,281.0,0,5,0,1
1032.0,281.0,0,5,0,1
1047.0,281.0,0,5,0,1
1053.0,281.0,0,5,0,1
1068.0,281.0,0,5,0,1
1074.0,281.0,0,5,0,1
1080.0,282.0,0,5,0,1
1084.0,283.0,0,5,0,1
1089.0,284.0,0,5,0,1
1093.0,286.0,0,5,0,1
1097.0,287.0,0,5,0,1
1099.0,288.0,0,5,0,1
1102.0,289.0,0,5,0,1
1103.0,290.0,0,5,0,1
1106.0,291.0,0,5,0,1
1109.0,292.0,0,5,0,1
1111.0,292.0,0,5,0,1
1114.0,294.0,0,5,0,1
1117.0,296.0,0,5,0,1
1120.0,296.0,0,5,0,1
1121.0,297.0,0,5,0,1
1122.0,297.0,0,5,0,1
1124.0,298.0,0,5,0,1
1126.0,299.0,0,5,0,1
1138.0,306.0,0,5,0,1
1147.0,312.0,0,5,0,1
1154.0,318.0,0,5,0,1
1158.0,321.0,0,5,0,1
1159.0,322.0,0,5,0,1
1160.0,324.0,0,5,0,1
1161.0,326.0,0,5,0,1
1161.0,327.0,0,5,0,1
1163.0,329.0,0,5,0,1
1164.0,332.0,0,5,0,1
1164.0,333.0,0,5,0,1
1166.0,337.0,0,5,0,1
1167.0,339.0,0,5,0,1
1168.0,342.0,0,5,0,1
1169.0,345.0,0,5,0,1
1171.0,349.0,0,5,0,1
1171.0,352.0,0,5,0,1
1173.0,357.0,0,5,0,1
1177.0,369.0,0,5,0,1
1180.0,375.0,0,5,0,1
1181.0,379.0,0,5,0,1
1181.0,380.0,0,5,0,1
1181.0,382.0,0,5,0,1
1182.0,385.0,0,5,0,1
1182.0,387.0,0,5,0,1
1182.0,388.0,0,5,0,1
1182.0,389.0,0,5,0,1
1182.0,391.0,0,5,0,1
1182.0,393.0,0,5,0,1
1182.0,395.0,0,5,0,1
1182.0,397.0,0,5,0,1
1182.0,399.0,0,5,0,1
1182.0,401.0,0,5,0,1
1182.0,403.0,0,5,0,1
1236.0,458.0,0,9,0,1
1236.0,459.0,0,9,0,1
1237.0,459.0,0,9,0,1
1237.0,460.0,0,9,0,1
1237.0,461.0,0,9,0,1
1238.0,462.0,0,9,0,1
1238.0,463.0,0,9,0,1
1238.0,464.0,0,9,0,1
1239.0,464.0,0,9,0,1
1239.0,465.0,0,9,0,1
1240.0,466.0,0,9,0,1
1241.0,467.0,0,9,0,1
1241.0,469.0,0,9,0,1
1242.0,470.0,0,9,0,1
1242.0,471.0,0,9,0,1
1243.0,472.0,0,9,0,1
1243.0,473.0,0,9,0,1
1243.0,474.0,0,9,0,1
1244.0,475.0,0,9,0,1
1244.0,476.0,0,9,0,1
1244.0,477.0,0,9,0,1
1244.0,478.0,0,9,0,1
1245.0,479.0,0,9,0,1
1245.0,480.0,0,9,0,1
1245.0,481.0,0,9,0,1
1246.0,483.0,0,9,0,1
1246.0,484.0,0,9,0,1
1247.0,486.0,0,9,0,1
1247.0,487.0,0,9,0,1
1247.0,488.0,0,9,0,1
1248.0,488.0,0,9,0,1
1247.0,488.0,0,9,0,1
1246.0,488.0,0,9,0,1
1246.0,487.0,0,9,0,1
1245.0,485.0,0,9,0,1
1245.0,483.0,0,9,0,1
1245.0,480.0,0,9,0,1
1247.0,478.0,0,9,0,1
1249.0,476.0,0,9,0,1
1250.0,475.0,0,9,0,1
1252.0,474.0,0,9,0,1
1254.0,473.0,0,9,0,1
1256.0,472.0,0,9,0,1
1261.0,470.0,0,9,0,1
1264.0,469.0,0,9,0,1
1265.0,469.0,0,9,0,1
1266.0,469.0,0,9,0,1
1268.0,469.0,0,9,0,1
1269.0,469.0,0,9,0,1
1271.0,475.0,0,9,0,1
1273.0,479.0,0,9,0,1
1278.0,486.0,0,9,0,1
1279.0,487.0,0,9,0,1
1281.0,490.0,0,9,0,1
1281.0,491.0,0,9,0,1
1281.0,492.0,0,9,0,1
1281.0,493.0,0,9,0,1
1281.0,494.0,0,9,0,1
1281.0,495.0,0,9,0,1
1281.0,497.0,0,9,0,1
1281.0,500.0,0,9,0,1
1279.0,501.0,0,9,0,1
1276.0,504.0,0,9,0,1
1274.0,506.0,0,9,0,1
1272.0,507.0,0,9,0,1
1270.0,509.0,0,9,0,1
1268.0,510.0,0,9,0,1
1266.0,511.0,0,9,0,1
1265.0,511.0,0,9,0,1
1264.0,512.0,0,9,0,1
1262.0,513.0,0,9,0,1
1261.0,513.0,0,9,0,1
1259.0,514.0,0,9,0,1
1257.0,514.0,0,9,0,1
1256.0,515.0,0,9,0,1
1255.0,515.0,0,9,0,1
1251.0,515.0,0,9,0,1
1250.0,516.0,0,9,0,1
1247.0,516.0,0,9,0,1
1244.0,516.0,0,9,0,1
1241.0,516.0,0,9,0,1
1239.0,516.0,0,9,0,1
1238.0,516.0,0,9,0,1
1236.0,516.0,0,9,0,1
1235.0,516.0,0,9,0,1
1233.0,516.0,0,9,0,1
1232.0,516.0,0,9,0,1
1228.0,513.0,0,9,0,1
1227.0,512.0,0,9,0,1
1226.0,511.0,0,9,0,1
1225.0,509.0,0,9,0,1
1225.0,507.0,0,9,0,1
1225.0,505.0,0,9,0,1
1225.0,504.0,0,9,0,1
1225.0,502.0,0,9,0,1
1225.0,501.0,0,9,0,1
1225.0,498.0,0,9,0,1
1225.0,497.0,0,9,0,1
1140.0,599.0,0,3,0,1
1137.0,599.0,0,3,0,1
1125.0,602.0,0,3,0,1
1120.0,604.0,0,3,0,1
1118.0,605.0,0,3,0,1
1115.0,606.0,0,3,0,1
1112.0,607.0,0,3,0,1
1106.0,608.0,0,3,0,1
1093.0,611.0,0,3,0,1
1086.0,613.0,0,3,0,1
1081.0,614.0,0,3,0,1
1076.0,617.0,0,3,0,1
1072.0,618.0,0,3,0,1
1068.0,619.0,0,3,0,1
1053.0,625.0,0,3,0,1
1046.0,627.0,0,3,0,1
1041.0,628.0,0,3,0,1
1033.0,631.0,0,3,0,1
1027.0,633.0,0,3,0,1
1008.0,638.0,0,3,0,1
990.0,646.0,0,3,0,1
970.0,652.0,0,3,0,1
949.0,659.0,0,3,0,1
925.0,668.0,0,3,0,1
906.0,673.0,0,3,0,1
889.0,681.0,0,3,0,1
878.0,686.0,0,3,0,1
856.0,700.0,0,3,0,1
847.0,707.0,0,3,0,1
835.0,714.0,0,3,0,1
826.0,721.0,0,3,0,1
806.0,736.0,0,3,0,1
