256.0,256.0,0,0,-1
11,9,12,10,1
11,9,11,9,0
11,9,12,10,0
17,9,17,10,0
17,9,18,10,2
37,11,0,0,5
11,17,0,0,5
37,11,0,0,6
0,0,0,0,-2
27,9,0,0,4
0,0,0,0,-3
41,10,0,0,7
542.0,178.0,0,5,0,1
542.0,181.0,0,5,0,1
542.0,185.0,0,5,0,1
542.0,191.0,0,5,0,1
541.0,196.0,0,5,0,1
541.0,201.0,0,5,0,1
541.0,206.0,0,5,0,1
541.0,207.0,0,5,0,1
540.0,208.0,0,5,0,1
540.0,209.0,0,5,0,1
540.0,213.0,0,5,0,1
538.0,220.0,0,5,0,1
536.0,229.0,0,5,0,1
534.0,235.0,0,5,0,1
530.0,252.0,0,5,0,1
528.0,263.0,0,5,0,1
523.0,286.0,0,5,0,1
522.0,293.0,0,5,0,1
520.0,301.0,0,5,0,1
519.0,307.0,0,5,0,1
516.0,315.0,0,5,0,1
513.0,322.0,0,5,0,1
509.0,334.0,0,5,0,1
506.0,349.0,0,5,0,1
505.0,365.0,0,5,0,1
499.0,393.0,0,5,0,1
497.0,411.0,0,5,0,1
497.0,434.0,0,5,0,1
497.0,451.0,0,5,0,1
497.0,478.0,0,5,0,1
496.0,482.0,0,5,0,1
496.0,486.0,0,5,0,1
496.0,489.0,0,5,0,1
496.0,490.0,0,5,0,1
496.0,491.0,0,5,0,1
504.0,491.0,0,5,0,1
511.0,492.0,0,5,0,1
529.0,496.0,0,5,0,1
573.0,512.0,0,5,0,1
614.0,528.0,0,5,0,1
656.0,531.0,0,5,0,1
663.0,531.0,0,5,0,1
675.0,531.0,0,5,0,1
679.0,531.0,0,5,0,1
684.0,530.0,0,5,0,1
686.0,529.0,0,5,0,1
688.0,528.0,0,5,0,1
690.0,526.0,0,5,0,1
691.0,524.0,0,5,0,1
693.0,521.0,0,5,0,1
696.0,517.0,0,5,0,1
700.0,514.0,0,5,0,1
703.0,512.0,0,5,0,1
716.0,504.0,0,5,0,1
720.0,502.0,0,5,0,1
726.0,498.0,0,5,0,1
731.0,496.0,0,5,0,1
736.0,494.0,0,5,0,1
742.0,491.0,0,5,0,1
753.0,483.0,0,5,0,1
759.0,479.0,0,5,0,1
762.0,476.0,0,5,0,1
771.0,467.0,0,5,0,1
777.0,461.0,0,5,0,1
780.0,457.0,0,5,0,1
783.0,453.0,0,5,0,1
785.0,449.0,0,5,0,1
786.0,447.0,0,5,0,1
789.0,442.0,0,5,0,1
790.0,441.0,0,5,0,1
790.0,436.0,0,5,0,1
791.0,430.0,0,5,0,1
792.0,425.0,0,5,0,1
794.0,418.0,0,5,0,1
795.0,412.0,0,5,0,1
805.0,392.0,0,5,0,1
808.0,385.0,0,5,0,1
809.0,363.0,0,5,0,1
809.0,334.0,0,5,0,1
814.0,320.0,0,5,0,1
815.0,315.0,0,5,0,1
816.0,312.0,0,5,0,1
816.0,310.0,0,5,0,1
815.0,309.0,0,5,0,1
814.0,306.0,0,5,0,1
810.0,295.0,0,5,0,1
808.0,282.0,0,5,0,1
807.0,275.0,0,5,0,1
805.0,265.0,0,5,0,1
803.0,250.0,0,5,0,1
802.0,243.0,0,5,0,1
801.0,236.0,0,5,0,1
799.0,228.0,0,5,0,1
798.0,219.0,0,5,0,1
797.0,200.0,0,5,0,1
797.0,178.0,0,5,0,1
797.0,172.0,0,5,0,1
797.0,171.0,0,5,0,1
Al,0,0,0,-4
