256.0,256.0,0,0,-1
300.0,505.0,0,5,0,1
300.0,504.0,0,5,0,1
299.0,503.0,0,5,0,1
298.0,501.0,0,5,0,1
298.0,497.0,0,5,0,1
298.0,494.0,0,5,0,1
298.0,490.0,0,5,0,1
298.0,485.0,0,5,0,1
298.0,482.0,0,5,0,1
298.0,477.0,0,5,0,1
298.0,473.0,0,5,0,1
298.0,471.0,0,5,0,1
298.0,468.0,0,5,0,1
298.0,465.0,0,5,0,1
296.0,462.0,0,5,0,1
295.0,458.0,0,5,0,1
295.0,453.0,0,5,0,1
294.0,449.0,0,5,0,1
294.0,443.0,0,5,0,1
293.0,440.0,0,5,0,1
293.0,437.0,0,5,0,1
293.0,434.0,0,5,0,1
293.0,430.0,0,5,0,1
293.0,428.0,0,5,0,1
293.0,424.0,0,5,0,1
293.0,420.0,0,5,0,1
293.0,415.0,0,5,0,1
293.0,411.0,0,5,0,1
293.0,407.0,0,5,0,1
293.0,403.0,0,5,0,1
293.0,398.0,0,5,0,1
293.0,393.0,0,5,0,1
293.0,387.0,0,5,0,1
293.0,382.0,0,5,0,1
293.0,377.0,0,5,0,1
293.0,371.0,0,5,0,1
293.0,368.0,0,5,0,1
293.0,362.0,0,5,0,1
293.0,359.0,0,5,0,1
293.0,354.0,0,5,0,1
293.0,350.0,0,5,0,1
293.0,347.0,0,5,0,1
293.0,343.0,0,5,0,1
293.0,340.0,0,5,0,1
296.0,338.0,0,5,0,1
296.0,335.0,0,5,0,1
297.0,332.0,0,5,0,1
298.0,327.0,0,5,0,1
299.0,325.0,0,5,0,1
300.0,322.0,0,5,0,1
301.0,319.0,0,5,0,1
302.0,314.0,0,5,0,1
303.0,312.0,0,5,0,1
304.0,309.0,0,5,0,1
305.0,305.0,0,5,0,1
306.0,301.0,0,5,0,1
308.0,298.0,0,5,0,1
311.0,293.0,0,5,0,1
312.0,290.0,0,5,0,1
313.0,285.0,0,5,0,1
315.0,280.0,0,5,0,1
317.0,278.0,0,5,0,1
317.0,275.0,0,5,0,1
319.0,272.0,0,5,0,1
320.0,268.0,0,5,0,1
322.0,266.0,0,5,0,1
325.0,263.0,0,5,0,1
327.0,260.0,0,5,0,1
328.0,255.0,0,5,0,1
330.0,253.0,0,5,0,1
332.0,250.0,0,5,0,1
336.0,245.0,0,5,0,1
338.0,242.0,0,5,0,1
343.0,238.0,0,5,0,1
345.0,236.0,0,5,0,1
349.0,232.0,0,5,0,1
352.0,230.0,0,5,0,1
355.0,228.0,0,5,0,1
358.0,224.0,0,5,0,1
361.0,223.0,0,5,0,1
364.0,219.0,0,5,0,1
366.0,218.0,0,5,0,1
369.0,216.0,0,5,0,1
372.0,212.0,0,5,0,1
376.0,211.0,0,5,0,1
381.0,208.0,0,5,0,1
383.0,207.0,0,5,0,1
386.0,205.0,0,5,0,1
387.0,205.0,0,5,0,1
392.0,202.0,0,5,0,1
395.0,199.0,0,5,0,1
398.0,199.0,0,5,0,1
402.0,197.0,0,5,0,1
405.0,196.0,0,5,0,1
412.0,195.0,0,5,0,1
414.0,194.0,0,5,0,1
420.0,193.0,0,5,0,1
424.0,193.0,0,5,0,1
430.0,192.0,0,5,0,1
436.0,191.0,0,5,0,1
442.0,191.0,0,5,0,1
447.0,190.0,0,5,0,1
453.0,188.0,0,5,0,1
458.0,188.0,0,5,0,1
464.0,187.0,0,5,0,1
472.0,186.0,0,5,0,1
480.0,184.0,0,5,0,1
487.0,182.0,0,5,0,1
494.0,182.0,0,5,0,1
501.0,181.0,0,5,0,1
508.0,179.0,0,5,0,1
514.0,179.0,0,5,0,1
521.0,178.0,0,5,0,1
526.0,178.0,0,5,0,1
532.0,178.0,0,5,0,1
540.0,178.0,0,5,0,1
547.0,178.0,0,5,0,1
555.0,178.0,0,5,0,1
562.0,178.0,0,5,0,1
570.0,178.0,0,5,0,1
578.0,178.0,0,5,0,1
587.0,178.0,0,5,0,1
593.0,178.0,0,5,0,1
596.0,178.0,0,5,0,1
601.0,178.0,0,5,0,1
607.0,178.0,0,5,0,1
611.0,179.0,0,5,0,1
615.0,179.0,0,5,0,1
620.0,182.0,0,5,0,1
624.0,182.0,0,5,0,1
627.0,183.0,0,5,0,1
632.0,185.0,0,5,0,1
633.0,186.0,0,5,0,1
637.0,187.0,0,5,0,1
640.0,190.0,0,5,0,1
642.0,191.0,0,5,0,1
644.0,193.0,0,5,0,1
649.0,199.0,0,5,0,1
654.0,203.0,0,5,0,1
656.0,206.0,0,5,0,1
661.0,211.0,0,5,0,1
665.0,219.0,0,5,0,1
668.0,226.0,0,5,0,1
673.0,235.0,0,5,0,1
677.0,244.0,0,5,0,1
680.0,252.0,0,5,0,1
682.0,259.0,0,5,0,1
685.0,268.0,0,5,0,1
688.0,275.0,0,5,0,1
690.0,284.0,0,5,0,1
692.0,291.0,0,5,0,1
694.0,301.0,0,5,0,1
696.0,310.0,0,5,0,1
697.0,318.0,0,5,0,1
697.0,326.0,0,5,0,1
697.0,333.0,0,5,0,1
697.0,341.0,0,5,0,1
697.0,348.0,0,5,0,1
697.0,353.0,0,5,0,1
697.0,363.0,0,5,0,1
697.0,367.0,0,5,0,1
697.0,375.0,0,5,0,1
697.0,377.0,0,5,0,1
697.0,384.0,0,5,0,1
697.0,389.0,0,5,0,1
697.0,394.0,0,5,0,1
697.0,397.0,0,5,0,1
697.0,404.0,0,5,0,1
697.0,408.0,0,5,0,1
695.0,413.0,0,5,0,1
695.0,417.0,0,5,0,1
695.0,420.0,0,5,0,1
695.0,425.0,0,5,0,1
694.0,429.0,0,5,0,1
694.0,433.0,0,5,0,1
693.0,438.0,0,5,0,1
693.0,439.0,0,5,0,1
693.0,443.0,0,5,0,1
693.0,447.0,0,5,0,1
693.0,452.0,0,5,0,1
693.0,455.0,0,5,0,1
693.0,460.0,0,5,0,1
693.0,463.0,0,5,0,1
693.0,467.0,0,5,0,1
693.0,469.0,0,5,0,1
693.0,471.0,0,5,0,1
693.0,473.0,0,5,0,1
693.0,475.0,0,5,0,1
693.0,476.0,0,5,0,1
693.0,477.0,0,5,0,1
693.0,478.0,0,5,0,1
693.0,479.0,0,5,0,1
693.0,480.0,0,5,0,1
693.0,482.0,0,5,0,1
693.0,483.0,0,5,0,1
692.0,485.0,0,5,0,1
692.0,487.0,0,5,0,1
691.0,488.0,0,5,0,1
691.0,491.0,0,5,0,1
690.0,492.0,0,5,0,1
689.0,495.0,0,5,0,1
688.0,499.0,0,5,0,1
0,0,0,0,-2
15,24,0,0,4
0,0,0,0,-3
34,25,0,0,7
