512.0,512.0,0,0,-1
372.0,164.0,0,4,0,1
373.0,164.0,0,4,0,1
374.0,164.0,0,4,0,1
375.0,164.0,0,4,0,1
376.0,164.0,0,4,0,1
377.0,164.0,0,4,0,1
378.0,164.0,0,4,0,1
379.0,164.0,0,4,0,1
380.0,164.0,0,4,0,1
381.0,164.0,0,4,0,1
382.0,164.0,0,4,0,1
383.0,164.0,0,4,0,1
384.0,164.0,0,4,0,1
385.0,164.0,0,4,0,1
386.0,164.0,0,4,0,1
387.0,164.0,0,4,0,1
391.0,164.0,0,4,0,1
393.0,164.0,0,4,0,1
395.0,164.0,0,4,0,1
396.0,164.0,0,4,0,1
398.0,164.0,0,4,0,1
399.0,164.0,0,4,0,1
400.0,164.0,0,4,0,1
402.0,164.0,0,4,0,1
405.0,164.0,0,4,0,1
406.0,164.0,0,4,0,1
407.0,164.0,0,4,0,1
409.0,164.0,0,4,0,1
412.0,164.0,0,4,0,1
416.0,164.0,0,4,0,1
419.0,164.0,0,4,0,1
421.0,164.0,0,4,0,1
424.0,164.0,0,4,0,1
426.0,164.0,0,4,0,1
427.0,165.0,0,4,0,1
430.0,165.0,0,4,0,1
432.0,165.0,0,4,0,1
433.0,165.0,0,4,0,1
437.0,165.0,0,4,0,1
439.0,165.0,0,4,0,1
442.0,166.0,0,4,0,1
445.0,167.0,0,4,0,1
449.0,168.0,0,4,0,1
454.0,168.0,0,4,0,1
458.0,168.0,0,4,0,1
462.0,168.0,0,4,0,1
470.0,169.0,0,4,0,1
474.0,169.0,0,4,0,1
479.0,169.0,0,4,0,1
483.0,169.0,0,4,0,1
489.0,169.0,0,4,0,1
492.0,169.0,0,4,0,1
497.0,169.0,0,4,0,1
500.0,169.0,0,4,0,1
505.0,169.0,0,4,0,1
508.0,169.0,0,4,0,1
511.0,169.0,0,4,0,1
514.0,169.0,0,4,0,1
517.0,169.0,0,4,0,1
520.0,169.0,0,4,0,1
523.0,169.0,0,4,0,1
527.0,169.0,0,4,0,1
532.0,169.0,0,4,0,1
537.0,169.0,0,4,0,1
539.0,169.0,0,4,0,1
544.0,169.0,0,4,0,1
548.0,169.0,0,4,0,1
550.0,169.0,0,4,0,1
553.0,169.0,0,4,0,1
557.0,169.0,0,4,0,1
559.0,169.0,0,4,0,1
562.0,169.0,0,4,0,1
565.0,169.0,0,4,0,1
566.0,169.0,0,4,0,1
568.0,170.0,0,4,0,1
570.0,170.0,0,4,0,1
573.0,170.0,0,4,0,1
576.0,170.0,0,4,0,1
578.0,170.0,0,4,0,1
582.0,170.0,0,4,0,1
585.0,170.0,0,4,0,1
587.0,170.0,0,4,0,1
589.0,170.0,0,4,0,1
593.0,170.0,0,4,0,1
598.0,170.0,0,4,0,1
600.0,170.0,0,4,0,1
604.0,170.0,0,4,0,1
607.0,170.0,0,4,0,1
609.0,170.0,0,4,0,1
613.0,170.0,0,4,0,1
615.0,170.0,0,4,0,1
618.0,170.0,0,4,0,1
621.0,170.0,0,4,0,1
625.0,170.0,0,4,0,1
628.0,170.0,0,4,0,1
631.0,170.0,0,4,0,1
635.0,170.0,0,4,0,1
638.0,170.0,0,4,0,1
641.0,170.0,0,4,0,1
645.0,170.0,0,4,0,1
649.0,170.0,0,4,0,1
652.0,170.0,0,4,0,1
657.0,171.0,0,4,0,1
662.0,171.0,0,4,0,1
669.0,172.0,0,4,0,1
675.0,173.0,0,4,0,1
683.0,173.0,0,4,0,1
689.0,173.0,0,4,0,1
696.0,173.0,0,4,0,1
701.0,173.0,0,4,0,1
705.0,173.0,0,4,0,1
712.0,173.0,0,4,0,1
718.0,173.0,0,4,0,1
723.0,173.0,0,4,0,1
732.0,173.0,0,4,0,1
736.0,173.0,0,4,0,1
744.0,172.0,0,4,0,1
749.0,172.0,0,4,0,1
756.0,172.0,0,4,0,1
760.0,171.0,0,4,0,1
764.0,171.0,0,4,0,1
768.0,171.0,0,4,0,1
774.0,170.0,0,4,0,1
778.0,170.0,0,4,0,1
784.0,169.0,0,4,0,1
788.0,169.0,0,4,0,1
791.0,169.0,0,4,0,1
796.0,168.0,0,4,0,1
800.0,168.0,0,4,0,1
806.0,167.0,0,4,0,1
811.0,167.0,0,4,0,1
813.0,167.0,0,4,0,1
819.0,167.0,0,4,0,1
823.0,167.0,0,4,0,1
827.0,167.0,0,4,0,1
831.0,167.0,0,4,0,1
835.0,167.0,0,4,0,1
840.0,167.0,0,4,0,1
843.0,167.0,0,4,0,1
846.0,167.0,0,4,0,1
850.0,167.0,0,4,0,1
854.0,167.0,0,4,0,1
858.0,167.0,0,4,0,1
863.0,167.0,0,4,0,1
868.0,167.0,0,4,0,1
872.0,167.0,0,4,0,1
877.0,167.0,0,4,0,1
880.0,167.0,0,4,0,1
882.0,167.0,0,4,0,1
886.0,166.0,0,4,0,1
887.0,166.0,0,4,0,1
889.0,166.0,0,4,0,1
890.0,166.0,0,4,0,1
893.0,166.0,0,4,0,1
894.0,166.0,0,4,0,1
895.0,166.0,0,4,0,1
896.0,166.0,0,4,0,1
898.0,166.0,0,4,0,1
899.0,166.0,0,4,0,1
902.0,166.0,0,4,0,1
903.0,166.0,0,4,0,1
904.0,166.0,0,4,0,1
905.0,166.0,0,4,0,1
908.0,166.0,0,4,0,1
909.0,166.0,0,4,0,1
911.0,166.0,0,4,0,1
913.0,166.0,0,4,0,1
916.0,166.0,0,4,0,1
918.0,166.0,0,4,0,1
922.0,166.0,0,4,0,1
924.0,166.0,0,4,0,1
927.0,166.0,0,4,0,1
929.0,166.0,0,4,0,1
932.0,166.0,0,4,0,1
933.0,166.0,0,4,0,1
934.0,166.0,0,4,0,1
935.0,166.0,0,4,0,1
935.0,167.0,0,4,0,1
935.0,168.0,0,4,0,1
935.0,169.0,0,4,0,1
932.0,171.0,0,4,0,1
931.0,173.0,0,4,0,1
929.0,175.0,0,4,0,1
928.0,177.0,0,4,0,1
927.0,178.0,0,4,0,1
925.0,180.0,0,4,0,1
924.0,181.0,0,4,0,1
924.0,182.0,0,4,0,1
923.0,183.0,0,4,0,1
922.0,183.0,0,4,0,1
920.0,185.0,0,4,0,1
920.0,186.0,0,4,0,1
918.0,188.0,0,4,0,1
917.0,188.0,0,4,0,1
916.0,190.0,0,4,0,1
915.0,190.0,0,4,0,1
915.0,191.0,0,4,0,1
914.0,192.0,0,4,0,1
913.0,192.0,0,4,0,1
911.0,193.0,0,4,0,1
910.0,195.0,0,4,0,1
909.0,196.0,0,4,0,1
908.0,197.0,0,4,0,1
907.0,198.0,0,4,0,1
906.0,199.0,0,4,0,1
905.0,200.0,0,4,0,1
904.0,201.0,0,4,0,1
903.0,201.0,0,4,0,1
903.0,202.0,0,4,0,1
901.0,203.0,0,4,0,1
901.0,204.0,0,4,0,1
900.0,204.0,0,4,0,1
899.0,206.0,0,4,0,1
898.0,207.0,0,4,0,1
897.0,208.0,0,4,0,1
896.0,209.0,0,4,0,1
894.0,211.0,0,4,0,1
893.0,212.0,0,4,0,1
892.0,213.0,0,4,0,1
890.0,214.0,0,4,0,1
890.0,215.0,0,4,0,1
889.0,216.0,0,4,0,1
888.0,218.0,0,4,0,1
887.0,219.0,0,4,0,1
886.0,220.0,0,4,0,1
885.0,221.0,0,4,0,1
884.0,223.0,0,4,0,1
883.0,224.0,0,4,0,1
881.0,227.0,0,4,0,1
879.0,229.0,0,4,0,1
877.0,234.0,0,4,0,1
874.0,237.0,0,4,0,1
873.0,239.0,0,4,0,1
871.0,241.0,0,4,0,1
868.0,246.0,0,4,0,1
863.0,252.0,0,4,0,1
861.0,254.0,0,4,0,1
859.0,257.0,0,4,0,1
855.0,262.0,0,4,0,1
853.0,264.0,0,4,0,1
852.0,265.0,0,4,0,1
849.0,268.0,0,4,0,1
848.0,270.0,0,4,0,1
846.0,271.0,0,4,0,1
845.0,275.0,0,4,0,1
843.0,277.0,0,4,0,1
843.0,278.0,0,4,0,1
841.0,280.0,0,4,0,1
840.0,281.0,0,4,0,1
837.0,284.0,0,4,0,1
836.0,286.0,0,4,0,1
835.0,287.0,0,4,0,1
832.0,292.0,0,4,0,1
830.0,294.0,0,4,0,1
830.0,295.0,0,4,0,1
828.0,297.0,0,4,0,1
828.0,298.0,0,4,0,1
826.0,301.0,0,4,0,1
825.0,304.0,0,4,0,1
824.0,306.0,0,4,0,1
822.0,309.0,0,4,0,1
821.0,312.0,0,4,0,1
819.0,315.0,0,4,0,1
818.0,317.0,0,4,0,1
817.0,320.0,0,4,0,1
814.0,324.0,0,4,0,1
811.0,328.0,0,4,0,1
811.0,330.0,0,4,0,1
809.0,331.0,0,4,0,1
808.0,335.0,0,4,0,1
806.0,337.0,0,4,0,1
805.0,339.0,0,4,0,1
804.0,341.0,0,4,0,1
802.0,345.0,0,4,0,1
801.0,346.0,0,4,0,1
800.0,348.0,0,4,0,1
799.0,351.0,0,4,0,1
798.0,354.0,0,4,0,1
796.0,359.0,0,4,0,1
794.0,362.0,0,4,0,1
792.0,367.0,0,4,0,1
790.0,370.0,0,4,0,1
789.0,372.0,0,4,0,1
787.0,374.0,0,4,0,1
787.0,377.0,0,4,0,1
784.0,380.0,0,4,0,1
783.0,382.0,0,4,0,1
782.0,387.0,0,4,0,1
780.0,389.0,0,4,0,1
779.0,391.0,0,4,0,1
778.0,394.0,0,4,0,1
776.0,399.0,0,4,0,1
776.0,401.0,0,4,0,1
774.0,405.0,0,4,0,1
774.0,408.0,0,4,0,1
772.0,412.0,0,4,0,1
770.0,418.0,0,4,0,1
767.0,424.0,0,4,0,1
765.0,430.0,0,4,0,1
762.0,436.0,0,4,0,1
759.0,441.0,0,4,0,1
755.0,448.0,0,4,0,1
752.0,453.0,0,4,0,1
749.0,458.0,0,4,0,1
747.0,463.0,0,4,0,1
745.0,467.0,0,4,0,1
743.0,473.0,0,4,0,1
740.0,479.0,0,4,0,1
738.0,484.0,0,4,0,1
737.0,488.0,0,4,0,1
735.0,495.0,0,4,0,1
734.0,500.0,0,4,0,1
732.0,505.0,0,4,0,1
730.0,511.0,0,4,0,1
727.0,514.0,0,4,0,1
723.0,520.0,0,4,0,1
722.0,523.0,0,4,0,1
719.0,529.0,0,4,0,1
719.0,532.0,0,4,0,1
717.0,536.0,0,4,0,1
715.0,543.0,0,4,0,1
713.0,547.0,0,4,0,1
711.0,551.0,0,4,0,1
709.0,557.0,0,4,0,1
706.0,563.0,0,4,0,1
703.0,569.0,0,4,0,1
702.0,573.0,0,4,0,1
700.0,578.0,0,4,0,1
697.0,584.0,0,4,0,1
696.0,586.0,0,4,0,1
694.0,592.0,0,4,0,1
692.0,596.0,0,4,0,1
690.0,601.0,0,4,0,1
688.0,606.0,0,4,0,1
688.0,610.0,0,4,0,1
686.0,612.0,0,4,0,1
685.0,614.0,0,4,0,1
684.0,617.0,0,4,0,1
683.0,621.0,0,4,0,1
682.0,625.0,0,4,0,1
681.0,627.0,0,4,0,1
681.0,629.0,0,4,0,1
680.0,633.0,0,4,0,1
679.0,636.0,0,4,0,1
678.0,638.0,0,4,0,1
678.0,639.0,0,4,0,1
677.0,642.0,0,4,0,1
676.0,644.0,0,4,0,1
676.0,647.0,0,4,0,1
675.0,649.0,0,4,0,1
675.0,650.0,0,4,0,1
674.0,652.0,0,4,0,1
674.0,653.0,0,4,0,1
674.0,654.0,0,4,0,1
673.0,655.0,0,4,0,1
672.0,657.0,0,4,0,1
672.0,659.0,0,4,0,1
672.0,661.0,0,4,0,1
672.0,662.0,0,4,0,1
672.0,663.0,0,4,0,1
671.0,664.0,0,4,0,1
671.0,665.0,0,4,0,1
671.0,666.0,0,4,0,1
671.0,667.0,0,4,0,1
671.0,666.0,0,4,0,1
675.0,657.0,0,4,0,1
674.0,657.0,0,4,0,1
673.0,659.0,0,4,0,1
671.0,660.0,0,4,0,1
671.0,661.0,0,4,0,1
670.0,662.0,0,4,0,1
669.0,663.0,0,4,0,1
668.0,664.0,0,4,0,1
668.0,665.0,0,4,0,1
668.0,666.0,0,4,0,1
668.0,667.0,0,4,0,1
667.0,668.0,0,4,0,1
665.0,670.0,0,4,0,1
665.0,671.0,0,4,0,1
665.0,672.0,0,4,0,1
665.0,673.0,0,4,0,1
665.0,674.0,0,4,0,1
665.0,675.0,0,4,0,1
664.0,676.0,0,4,0,1
664.0,677.0,0,4,0,1
664.0,678.0,0,4,0,1
663.0,678.0,0,4,0,1
663.0,680.0,0,4,0,1
663.0,682.0,0,4,0,1
663.0,683.0,0,4,0,1
663.0,685.0,0,4,0,1
663.0,687.0,0,4,0,1
663.0,688.0,0,4,0,1
663.0,689.0,0,4,0,1
663.0,692.0,0,4,0,1
663.0,693.0,0,4,0,1
663.0,694.0,0,4,0,1
663.0,695.0,0,4,0,1
663.0,696.0,0,4,0,1
663.0,697.0,0,4,0,1
663.0,698.0,0,4,0,1
663.0,699.0,0,4,0,1
663.0,700.0,0,4,0,1
663.0,701.0,0,4,0,1
663.0,702.0,0,4,0,1
663.0,703.0,0,4,0,1
663.0,705.0,0,4,0,1
663.0,706.0,0,4,0,1
663.0,707.0,0,4,0,1
663.0,708.0,0,4,0,1
663.0,710.0,0,4,0,1
662.0,712.0,0,4,0,1
662.0,713.0,0,4,0,1
661.0,716.0,0,4,0,1
661.0,717.0,0,4,0,1
661.0,718.0,0,4,0,1
661.0,719.0,0,4,0,1
661.0,720.0,0,4,0,1
661.0,722.0,0,4,0,1
661.0,723.0,0,4,0,1
661.0,724.0,0,4,0,1
661.0,726.0,0,4,0,1
661.0,727.0,0,4,0,1
661.0,728.0,0,4,0,1
661.0,730.0,0,4,0,1
661.0,731.0,0,4,0,1
661.0,734.0,0,4,0,1
661.0,735.0,0,4,0,1
661.0,737.0,0,4,0,1
661.0,739.0,0,4,0,1
661.0,741.0,0,4,0,1
661.0,742.0,0,4,0,1
661.0,743.0,0,4,0,1
661.0,745.0,0,4,0,1
661.0,746.0,0,4,0,1
661.0,748.0,0,4,0,1
