512.0,512.0,0,0,-1
8,8,8,9,0
195.0,450.0,0,5,0,1
193.0,450.0,0,5,0,1
193.0,448.0,0,5,0,1
193.0,447.0,0,5,0,1
193.0,446.0,0,5,0,1
192.0,445.0,0,5,0,1
192.0,444.0,0,5,0,1
191.0,442.0,0,5,0,1
190.0,440.0,0,5,0,1
190.0,437.0,0,5,0,1
190.0,433.0,0,5,0,1
190.0,430.0,0,5,0,1
190.0,428.0,0,5,0,1
189.0,425.0,0,5,0,1
189.0,422.0,0,5,0,1
189.0,416.0,0,5,0,1
189.0,411.0,0,5,0,1
189.0,405.0,0,5,0,1
189.0,401.0,0,5,0,1
189.0,397.0,0,5,0,1
189.0,391.0,0,5,0,1
190.0,388.0,0,5,0,1
190.0,386.0,0,5,0,1
191.0,383.0,0,5,0,1
194.0,379.0,0,5,0,1
196.0,374.0,0,5,0,1
198.0,372.0,0,5,0,1
201.0,367.0,0,5,0,1
204.0,364.0,0,5,0,1
207.0,359.0,0,5,0,1
211.0,356.0,0,5,0,1
214.0,352.0,0,5,0,1
217.0,349.0,0,5,0,1
224.0,344.0,0,5,0,1
227.0,341.0,0,5,0,1
232.0,338.0,0,5,0,1
238.0,334.0,0,5,0,1
242.0,331.0,0,5,0,1
245.0,329.0,0,5,0,1
248.0,327.0,0,5,0,1
252.0,325.0,0,5,0,1
255.0,324.0,0,5,0,1
258.0,323.0,0,5,0,1
262.0,322.0,0,5,0,1
268.0,319.0,0,5,0,1
272.0,318.0,0,5,0,1
278.0,316.0,0,5,0,1
285.0,313.0,0,5,0,1
291.0,312.0,0,5,0,1
293.0,311.0,0,5,0,1
296.0,311.0,0,5,0,1
300.0,310.0,0,5,0,1
303.0,310.0,0,5,0,1
307.0,309.0,0,5,0,1
310.0,307.0,0,5,0,1
317.0,307.0,0,5,0,1
323.0,304.0,0,5,0,1
325.0,304.0,0,5,0,1
331.0,304.0,0,5,0,1
336.0,304.0,0,5,0,1
343.0,303.0,0,5,0,1
349.0,302.0,0,5,0,1
354.0,302.0,0,5,0,1
361.0,302.0,0,5,0,1
368.0,302.0,0,5,0,1
376.0,302.0,0,5,0,1
383.0,302.0,0,5,0,1
390.0,302.0,0,5,0,1
396.0,302.0,0,5,0,1
404.0,302.0,0,5,0,1
414.0,302.0,0,5,0,1
419.0,302.0,0,5,0,1
425.0,304.0,0,5,0,1
431.0,306.0,0,5,0,1
436.0,308.0,0,5,0,1
440.0,310.0,0,5,0,1
444.0,311.0,0,5,0,1
447.0,314.0,0,5,0,1
450.0,316.0,0,5,0,1
452.0,318.0,0,5,0,1
454.0,319.0,0,5,0,1
455.0,321.0,0,5,0,1
458.0,324.0,0,5,0,1
458.0,327.0,0,5,0,1
461.0,332.0,0,5,0,1
463.0,337.0,0,5,0,1
466.0,343.0,0,5,0,1
468.0,349.0,0,5,0,1
474.0,357.0,0,5,0,1
477.0,365.0,0,5,0,1
482.0,372.0,0,5,0,1
487.0,382.0,0,5,0,1
491.0,390.0,0,5,0,1
496.0,398.0,0,5,0,1
500.0,405.0,0,5,0,1
505.0,410.0,0,5,0,1
510.0,417.0,0,5,0,1
516.0,423.0,0,5,0,1
519.0,427.0,0,5,0,1
522.0,432.0,0,5,0,1
524.0,435.0,0,5,0,1
527.0,437.0,0,5,0,1
529.0,439.0,0,5,0,1
531.0,442.0,0,5,0,1
534.0,442.0,0,5,0,1
534.0,443.0,0,5,0,1
535.0,443.0,0,5,0,1
538.0,443.0,0,5,0,1
540.0,443.0,0,5,0,1
543.0,443.0,0,5,0,1
547.0,443.0,0,5,0,1
551.0,443.0,0,5,0,1
555.0,441.0,0,5,0,1
562.0,437.0,0,5,0,1
568.0,434.0,0,5,0,1
574.0,430.0,0,5,0,1
580.0,428.0,0,5,0,1
589.0,423.0,0,5,0,1
598.0,417.0,0,5,0,1
608.0,410.0,0,5,0,1
617.0,406.0,0,5,0,1
627.0,398.0,0,5,0,1
638.0,391.0,0,5,0,1
646.0,386.0,0,5,0,1
655.0,380.0,0,5,0,1
664.0,372.0,0,5,0,1
672.0,368.0,0,5,0,1
681.0,363.0,0,5,0,1
686.0,359.0,0,5,0,1
695.0,350.0,0,5,0,1
705.0,344.0,0,5,0,1
713.0,336.0,0,5,0,1
722.0,330.0,0,5,0,1
728.0,323.0,0,5,0,1
735.0,314.0,0,5,0,1
741.0,309.0,0,5,0,1
746.0,304.0,0,5,0,1
